#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 08 11 10 50  11  4.6  5.6  1.24  8.33  5.70 169 1005.7  10.1  10.4  10.1 99.0 99.00
2018 08 11 11 50  21  5.2  6.4  1.37  7.69  5.98 164 1005.5  10.1  10.4  10.1 99.0 99.00
2018 08 11 12 50   6  5.6  6.7  1.37  7.14  5.82 223 1005.0  10.2  10.5  10.2 99.0 99.00
2018 08 11 13 50  14  5.3  6.3  1.34  7.14  5.58 202 1004.8  10.0  10.5  10.0 99.0 99.00
2018 08 11 14 50  16  5.8  6.9  1.30  6.25  5.56 332 1004.3  10.1  10.5  10.1 99.0 99.00
2018 08 11 15 50  17  6.1  7.8  1.29  5.88  5.58 350 1004.1  10.0  10.5  10.0 99.0 99.00
2018 08 11 16 50  14  6.7  8.0  1.31  6.25  5.52 325 1003.7  10.0  10.5  10.0 99.0 99.00
2018 08 11 17 50  20  6.5  7.9  1.31  5.88  5.31 343 1003.3  10.1  10.5  10.1 99.0 99.00
2018 08 11 18 50  19  7.3  8.8  1.28  6.67  5.35 340 1002.1  10.1  10.5  10.1 99.0 99.00
2018 08 11 19 50  30  7.6  9.0  1.23  6.67  5.05 346 1001.4  10.1  10.5  10.1 99.0 99.00
2018 08 11 20 50  24  8.2  9.8  1.31  6.25  4.91 343 1000.2  10.1  10.5  10.1 99.0 99.00
2018 08 11 21 50  24  9.2 10.9  1.31  5.88  4.73 349  998.7  10.0  10.5  10.0 99.0 99.00
2018 08 11 22 50  22  9.2 11.2  1.47  5.88  4.76 349  997.2  10.0  10.4  10.0 99.0 99.00
2018 08 11 23 50  16  9.4 11.1  1.50  6.25  4.91 343  995.2   9.9  10.4   9.9 99.0 99.00
2018 08 12 00 50  13 10.2 11.9  1.64  6.67  4.79 337  993.5   9.9  10.4   9.9 99.0 99.00
2018 08 12 01 50  14 10.6 12.4  1.74  6.25  5.12 332  992.0  10.0  10.5  10.0 99.0 99.00
2018 08 12 02 50   2 11.9 14.4  1.83  6.25  5.13 335  990.4  10.0  10.5  10.0 99.0 99.00
2018 08 12 03 50 354 12.4 14.6  2.11  6.67  5.29 339  990.0  10.1  10.5  10.1 99.0 99.00
2018 08 12 04 50 347 12.6 14.9  2.24  7.14  5.45 340  989.6  10.1  10.4  10.1 99.0 99.00
2018 08 12 05 50 337 12.9 15.5  2.50  7.14  5.80 337  989.4  10.1  10.4  10.1 99.0 99.00
2018 08 12 06 50 332 13.6 16.0  2.55  7.14  5.61 347  989.8  10.2  10.4  10.2 99.0 99.00
2018 08 12 07 50 323 13.2 16.4  2.58  7.14  5.79 345  990.7  10.2  10.4  10.2 99.0 99.00
2018 08 12 08 50 320 13.7 17.1  3.20  7.14  6.20 338  991.7  10.1  10.3  10.1 99.0 99.00
2018 08 12 09 50 317 14.8 18.2  3.22  7.69  6.38 342  993.0  10.2  10.3  10.2 99.0 99.00
2018 08 12 10 50 311 14.2 17.0  3.53  8.33  6.42 337  994.5   9.9  10.3   9.9 99.0 99.00
2018 08 12 11 50 308 15.2 18.8  3.57  9.09  6.52 340  995.6  10.0  10.3   9.7 99.0 99.00
2018 08 12 12 50 307 13.8 18.1  3.45  8.33  6.53 337  997.3   9.9  10.3   9.6 99.0 99.00
2018 08 12 13 50 302 13.8 16.6  3.85  9.09  6.90 340  998.7   9.8  10.3   9.3 99.0 99.00
2018 08 12 14 50 302 14.1 17.7  3.82  9.09  6.86 347 1000.0  10.0  10.2   8.8 99.0 99.00
2018 08 12 15 50 299 13.2 16.4  4.16  9.09  6.86 346 1001.2  10.0  10.2   8.6 99.0 99.00
2018 08 12 16 50 304 13.1 15.9  3.78  9.09  6.96 346 1002.5   9.9  10.2   8.2 99.0 99.00
2018 08 12 17 50 306 12.9 15.6  4.12  8.33  7.01 346 1003.8  10.0  10.2   6.9 99.0 99.00
2018 08 12 18 50 305 12.3 15.6  4.15 10.00  7.25 341 1004.9  10.0  10.2   7.0 99.0 99.00
2018 08 12 19 50 300 12.3 15.6  4.03 10.00  7.33 344 1005.8   9.9  10.2   6.5 99.0 99.00
2018 08 12 20 50 308 11.9 14.2  4.13 10.00  7.55 342 1006.9  10.0  10.2   6.2 99.0 99.00
2018 08 12 21 50 304 10.6 13.4  4.12 10.81  7.44 357 1008.0  10.1  10.2   6.0 99.0 99.00
2018 08 12 22 50 295 11.0 13.4  3.83 10.00  7.23 350 1008.8  10.1  10.2   6.7 99.0 99.00
2018 08 12 23 50 293 10.7 13.5  4.30 10.00  7.76 355 1010.1  10.3  10.2   6.5 99.0 99.00
2018 08 13 00 50 288 11.5 13.7  4.16 10.00  7.54 341 1010.9  10.1  10.2   7.4 99.0 99.00
2018 08 13 01 50 289 11.8 14.7  4.48 10.81  7.75 350 1011.6  10.2  10.2   7.2 99.0 99.00
2018 08 13 02 50 286 10.2 12.3  3.67 10.81  7.12 352 1012.4  10.2  10.2   8.0 99.0 99.00
