#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 22 18 58 999 99.0 99.0  4.84  9.88  8.28 256 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 19 28 999 99.0 99.0  4.10 10.53  7.69 266 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 19 58 999 99.0 99.0  4.30  9.88  7.86 266 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 20 28 999 99.0 99.0  3.71 10.53  7.74 256 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 20 58 999 99.0 99.0  4.62 10.53  8.17 252 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 21 28 999 99.0 99.0  4.00  9.88  7.87 251 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 21 58 999 99.0 99.0  4.13 11.11  7.93 261 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 22 28 999 99.0 99.0  3.95 10.53  7.88 255 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 22 58 999 99.0 99.0  3.63 11.11  7.76 265 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 23 28 999 99.0 99.0  3.89 11.11  7.91 264 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 22 23 58 999 99.0 99.0  3.90  9.88  8.04 261 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 00 28 999 99.0 99.0  3.79  9.88  7.86 271 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 00 58 999 99.0 99.0  3.58 10.53  7.68 256 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 01 28 999 99.0 99.0  3.69 11.11  8.04 264 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 01 58 999 99.0 99.0  3.71  9.88  7.65 275 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 02 28 999 99.0 99.0  3.40 10.53  7.69 256 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 02 58 999 99.0 99.0  3.44  9.88  7.82 265 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 03 28 999 99.0 99.0  3.77 10.53  7.83 265 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 03 58 999 99.0 99.0  3.45 10.53  7.49 269 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 04 28 999 99.0 99.0  3.50 10.53  7.49 254 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 04 58 999 99.0 99.0  3.67  9.88  7.59 259 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 05 28 999 99.0 99.0  3.67  9.88  7.70 273 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 05 58 999 99.0 99.0  2.95 10.53  7.01 268 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 06 28 999 99.0 99.0  3.04 11.11  7.02 261 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 06 58 999 99.0 99.0  3.24  9.88  7.11 268 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 07 28 999 99.0 99.0  2.92 11.11  6.84 254 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 07 58 999 99.0 99.0  3.04 10.53  6.91 258 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 08 28 999 99.0 99.0  2.96 10.53  6.59 262 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 08 58 999 99.0 99.0  3.19 10.53  6.95 265 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 09 28 999 99.0 99.0  3.14 10.53  6.68 259 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 09 58 999 99.0 99.0  3.27  9.88  6.57 272 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 10 28 999 99.0 99.0  3.33  9.88  6.86 262 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 10 58 999 99.0 99.0  3.20  9.88  6.53 265 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 11 28 999 99.0 99.0  3.15  9.88  6.41 247 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 11 58 999 99.0 99.0  3.25  9.88  6.53 268 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 12 28 999 99.0 99.0  3.22  6.67  6.45 197 9999.0 999.0   7.1 999.0 99.0 99.00
2016 01 23 12 58 999 99.0 99.0  3.33  6.67  6.37 192 9999.0 999.0   7.1 999.0 99.0 99.00
